iter	Logloss
0	0.6375409107
1	0.5947343286
2	0.5627556831
3	0.5361931005
4	0.5173785356
5	0.500749534
6	0.4865742572
7	0.4769713788
8	0.4687358224
9	0.4603390266
10	0.4541500242
11	0.4480488788
12	0.4439110318
13	0.4384748856
14	0.4346289346
15	0.431681694
16	0.4280394526
17	0.4252015085
18	0.4229812316
19	0.4204284218
20	0.4179496806
21	0.4147432983
22	0.4130726548
23	0.4101884216
24	0.4077663928
25	0.405550474
26	0.4025928843
27	0.4005110424
28	0.3994099423
29	0.397846387
30	0.3958379246
31	0.3949483294
32	0.393893315
33	0.3925934686
34	0.3907756598
35	0.3901284355
36	0.3879351995
37	0.385797305
38	0.3844556812
39	0.3838612356
40	0.3819211368
41	0.3805009965
42	0.3796378339
43	0.377450191
44	0.3768824026
45	0.3736614066
46	0.3722193797
47	0.3715256732
48	0.3706267568
49	0.369046851
50	0.3685918731
51	0.3672634947
52	0.3668480603
53	0.3650741234
54	0.3630567922
55	0.3621195019
56	0.3604914939
57	0.3600635082
58	0.3587220401
59	0.3577191846
60	0.3568216466
61	0.3538542588
62	0.3527679014
63	0.3510070865
64	0.3500038891
65	0.3490717945
66	0.3479227007
67	0.3464192885
68	0.3438360398
69	0.343051174
70	0.3404607245
71	0.3397612561
72	0.3391822793
73	0.337493741
74	0.3368586046
75	0.3365917667
76	0.3355522884
77	0.3344988774
78	0.3339566073
79	0.3335453827
80	0.3325315204
81	0.3322642422
82	0.3320959866
83	0.3314072352
84	0.330581711
85	0.3292647285
86	0.3289819627
87	0.3284377217
88	0.3268740437
89	0.3265534778
90	0.3247075572
91	0.3238605079
92	0.3237086523
93	0.3235219334
94	0.3233035268
95	0.321286659
96	0.3202128493
97	0.3184684874
98	0.31728381
99	0.3161750733
100	0.3154639332
101	0.3141853051
102	0.3133336865
103	0.312557154
104	0.3121306965
105	0.3110321812
106	0.3107593398
107	0.3092350681
108	0.3083121035
109	0.307173887
110	0.3064893299
111	0.3063066341
112	0.3054908331
113	0.3045533628
114	0.3038610154
115	0.3030782899
116	0.3027852586
117	0.3025705411
118	0.3018151562
119	0.3012440343
120	0.3005866828
121	0.3000464507
122	0.2994584082
123	0.2991387713
124	0.2987444769
125	0.2984336197
126	0.2975893801
127	0.2969464342
128	0.2966354926
129	0.2962748967
130	0.2959794168
131	0.2956441922
132	0.294867903
133	0.2942369224
134	0.2940415816
135	0.2938163506
136	0.2929589343
137	0.2920924334
138	0.2911403898
139	0.2901817146
140	0.2893464974
141	0.2886685453
142	0.2883907062
143	0.2876520312
144	0.2874717923
145	0.2872342095
146	0.2860378333
147	0.2852657695
148	0.2842314042
149	0.2838654167
150	0.2826833029
151	0.2818216357
152	0.2809019035
153	0.280308538
154	0.2798887412
155	0.2793755041
156	0.2791932227
157	0.2787669568
158	0.2779404088
159	0.2775936605
160	0.2769149036
161	0.2767252566
162	0.2765571457
163	0.2760941557
164	0.275541439
165	0.2749565704
166	0.274390983
167	0.2739091305
168	0.2728735414
169	0.2722546721
170	0.2717540632
171	0.2715497641
172	0.2707083434
173	0.2698851967
174	0.2693345171
175	0.2687862784
176	0.2684116043
177	0.2681853161
178	0.2677490888
179	0.2671592652
180	0.2667037487
181	0.2661817418
182	0.2658810593
183	0.2656964266
184	0.2655199145
185	0.2651478901
186	0.2648023867
187	0.2644918345
188	0.2641220021
189	0.2636698936
190	0.2633058621
191	0.2630862067
192	0.2627555651
193	0.2624580982
194	0.2620679496
195	0.2615051457
196	0.2612082275
197	0.2605675205
198	0.2601030535
199	0.2595705698
