iter	Passed	Remaining
0	841	167390
1	1589	157369
2	2362	155147
3	3037	148834
4	3817	148870
5	4636	149914
6	5389	148582
7	6169	148056
8	6990	148344
9	7849	149140
10	8622	148155
11	9368	146769
12	10036	144372
13	10739	142677
14	11499	141822
15	12269	141099
16	12977	139703
17	13682	138346
18	14424	137413
19	15162	136461
20	15881	135367
21	16681	134967
22	17481	134527
23	18240	133762
24	19005	133035
25	19775	132344
26	20538	131599
27	21238	130463
28	21870	128961
29	22616	128161
30	23350	127295
31	23994	125971
32	24734	125174
33	25479	124401
34	26240	123704
35	26878	122446
36	27577	121489
37	28332	120787
38	29047	119912
39	29684	118738
40	30409	117929
41	31064	116862
42	31794	116087
43	32577	115502
44	33271	114600
45	34024	113906
46	34737	113081
47	35360	111974
48	36123	111319
49	36798	110396
50	37443	109394
51	38128	108520
52	38794	107599
53	39507	106817
54	40235	106076
55	40917	105216
56	41632	104447
57	42284	103523
58	42930	102596
59	43620	101780
60	44296	100938
61	45029	100227
62	45710	99401
63	46412	98626
64	47157	97942
65	47922	97297
66	48687	96648
67	49448	95988
68	50145	95203
69	50838	94413
70	51608	93767
71	52393	93144
72	53068	92324
73	53777	91567
74	54453	90755
75	55181	90033
76	55845	89208
77	56524	88410
78	57251	87689
79	57916	86875
80	58619	86120
81	59345	85399
82	60005	84585
83	60724	83857
84	61416	83093
85	62048	82250
86	62752	81506
87	63436	80737
88	64194	80062
89	64871	79287
90	65582	78554
91	66357	77897
92	67119	77223
93	68047	76734
94	68910	76163
95	69764	75578
96	70483	74842
97	71236	74144
98	71967	73421
99	72734	72734
100	73477	72022
101	74190	71281
102	74926	70561
103	75677	69856
104	76539	69250
105	77338	68583
106	78104	67884
107	78893	67205
108	79923	66725
109	80701	66028
110	81537	65376
111	82327	64685
112	83082	63965
113	84018	63382
114	84856	62720
115	85652	62023
116	86374	61274
117	87057	60497
118	87801	59764
119	88444	58963
120	89082	58161
121	89820	57426
122	90511	56661
123	91095	55832
124	91851	55110
125	92554	54357
126	93184	53562
127	93931	52836
128	94568	52049
129	95239	51282
130	95880	50501
131	96587	49757
132	97318	49025
133	98002	48269
134	98619	47483
135	99254	46708
136	100130	46045
137	100895	45329
138	101596	44585
139	102260	43826
140	102939	43074
141	103625	42325
142	104334	41587
143	105045	40850
144	105740	40108
145	106428	39364
146	107141	38629
147	107820	37882
148	108573	37162
149	109266	36422
150	110063	35715
151	110900	35021
152	111590	34279
153	112284	33539
154	112987	32802
155	113673	32061
156	114363	31322
157	114990	30567
158	115820	29865
159	116605	29151
160	117282	28410
161	117929	27662
162	118561	26912
163	119263	26179
164	119924	25438
165	120703	24722
166	121386	23986
167	122115	23260
168	122808	22526
169	123464	21787
170	124213	21065
171	124857	20325
172	125564	19596
173	126258	18866
174	126944	18134
175	127654	17407
176	128344	16677
177	129058	15951
178	129798	15227
179	130510	14501
180	131238	13776
181	132127	13067
182	132906	12346
183	133547	11612
184	134172	10878
185	134877	10152
186	135553	9423
187	136260	8697
188	136963	7971
189	137705	7247
190	138457	6524
191	139249	5802
192	139939	5075
193	140642	4349
194	141416	3626
195	142149	2901
196	142815	2174
197	143474	1449
198	144177	724
199	144890	0
